id,cast_id,store_id,date,planned_start,planned_end,actual_start,actual_end,is_late,is_absent,help_from_store_id,notes,shift_data,help_cast_name
14,14,1,2026-02-02,,,2026-02-03 00:00:00.000000,2026-02-03 05:00:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 4.0, ""set_shot"": 2.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 20, ""drink_back"": 4200, ""daily_payment"": 5000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
15,15,1,2026-02-02,,,2026-02-02 18:30:00.000000,2026-02-02 20:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 1500, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 1.5}",
16,16,1,2026-02-02,,,2026-02-02 18:30:00.000000,2026-02-03 00:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.5}",
17,17,1,2026-02-03,,,2026-02-03 19:00:00.000000,2026-02-04 04:30:00.000000,0,0,,,"{""set_l"": 12.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 24, ""drink_back"": 4800, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 0, ""distribution_count"": 66, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.5}",
18,10,1,2026-02-03,,,2026-02-03 20:00:00.000000,2026-02-04 00:00:00.000000,0,0,,,"{""set_l"": 8.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 16, ""drink_back"": 3200, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 33, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
19,5,1,2026-02-03,,,2026-02-04 00:00:00.000000,2026-02-04 05:00:00.000000,0,0,,,"{""set_l"": 8.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 16, ""drink_back"": 3200, ""daily_payment"": 5000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
20,18,1,2026-02-03,,,,,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
21,17,1,2026-02-04,,,2026-02-04 19:00:00.000000,2026-02-05 00:00:00.000000,0,0,,,"{""set_l"": 6.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 12, ""drink_back"": 2400, ""daily_payment"": 5000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 40, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
22,3,1,2026-02-04,,,2026-02-04 20:00:00.000000,2026-02-05 00:00:00.000000,0,0,,,"{""set_l"": 5.0, ""set_mg"": 3.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 22, ""drink_back"": 4400, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 22, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
23,19,1,2026-02-04,,,2026-02-04 21:00:00.000000,2026-02-05 01:00:00.000000,0,0,,,"{""set_l"": 6.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 12, ""drink_back"": 2400, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 5, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
